TRANSTEXT 6.9.999.8
PRIMARY_LANGID 9
English Text	Translated Text	Item Type
NEED_TRANSLATION
"% Complete:\t"	""	"text"
"\n%s %.2f %c"	""	"text"
"\n%s %.2f"	""	"text"
"\n%s %d"	""	"text"
"\n%s %s (%s)"	""	"text"
"\n%s %s"	""	"text"
"<filepath>\tOpens/selects the specified tasklist\n-m <filepath>\tImports the specified file\n-f <filepath2>[|<filepath3>|<filepath4>]\tAllows additional tasklists to be opened\n-v\tForces ToDoList to startup visible regardless of its last saved state\n-i <inipath>\tSpecifies an alternative settings file path\n-x\tTurns off password prompting except when first loading an encrypted tasklist\n-cmd <id>\tSends the specified command to ToDoList's main window\n-h, -help, -?\tThis messagebox\n"	""	"text"
"AaBbYyZz"	""	"label.1092"
"After completing a task, set its 'Status' to"	""	"checkbox.1401"
"Auto-scroll to task when selecting"	""	"checkbox.16002"
"Bcc"	""	"text"
"Burndown"	""	"combobox.1015"
  "Burndown"	""	"text"
"Cc"	""	"text"
"Checkbox"	""	"text"
"CommentsPopup"	""	"menu"
"Dates"	""	"label.16007"
"Entry ID"	""	"text"
"Export Outline"	""	"dialog"
"External ID:\t"	""	"text"
"File Timestamp Change"	""	"text"
"Find Tasks Filter"	""	"text"
"FreeMind (.mm)"	""	"combobox.1115"
  "FreeMind (.mm)"	""	"combobox.1316"
"GanttProject (.gan)"	""	"combobox.1115"
  "GanttProject (.gan)"	""	"combobox.1316"
"Info"	""	"menu.34532"
"Insert"	""	"menu"
"Last Modified:\t"	""	"text"
"Link Options"	""	"groupbox"
"Link to the file using 'file://...'"	""	"radiobutton.16001"
"Log Task Time"	""	"dialog"
"Logged Time Analysis|Please check that neither the log file nor the report file are open in another application."	""	"text"
"Logged Time Analysis|The analysis completed successfully. Would you like to view the results?"	""	"text"
"Logged Time Analysis|There were no tasks found matching the specified time period.\n\nWould you like to try another time period?"	""	"text"
"Make this my automatic choice"	""	"checkbox.16007"
"Mileage"	""	"text"
"My Life Organized (.ml)"	""	"combobox.1115"
  "My Life Organized (.ml)"	""	"combobox.1316"
"Outlook must be installed before 'outlook:' links will work."	""	"text"
"Period defining 'Recently Modified' tasks"	""	"label"
"Period"	""	"text"
"Plain Text (.txt)|Text Files (*.txt)|*.txt||"	""	"text"
"Regular"	""	"combobox.1137"
"Resize attribute columns to fit"	"Ajuster la largeur des colonnes d'attributs"	"menu.34536"
"Risk:\t\t"	"Risque:\t\t"	"text"
"Show checkbox beside task title when completion column is hidden"	""	"checkbox.1455"
"Spreadsheet (.csv)|Spreadsheets (*.csv)|*.csv||"	""	"text"
"Start Date:\t"	""	"text"
"Status Change"	""	"text"
"Status:\t"	""	"text"
"Stickies|Stickies*.exe||"	""	"text"
"Subtask Completion"	""	"checklistbox.1252"
  "Subtask Completion"	""	"text"
  "Subtask Completion"	""	"menu.33157"
"Table..."	""	"menu.32799"
"Tags:\t\t\t"	""	"text"
"Task Dialog"	""	"menu"
"Task Occurs"	""	"groupbox"
"Task View Tab Bar"	""	"menu.34266"
"Task:\t\t"	""	"text"
"The earlier of the task's 'Due' date and 'Today'."	""	"radiobutton.2007"
"The following tasklists have been checked in:\n\n%s"	""	"text"
"The later of the task's 'Start' date and 'Today'."	""	"radiobutton.2009"
"Time Est:\t"	"Temps Est.:\t"	"text"
"Time Spent:\t"	"Temps Passé:\t"	"text"
"Timestamp Change"	""	"text"
"ToDoList (.tdl)"	""	"combobox.1115"
  "ToDoList (.tdl)"	""	"combobox.1316"
"ToDoList Web Update"	""	"dialog"
  "ToDoList Web Update"	""	"systabcontrol32.12320"
"ToDoList was unable to install the 'outlook:' protocol handler.\n\nYou may need to run ToDoList with administrator privileges to install the handler.\n\nOnce installed you can then revert to your original security settings."	""	"text"
"TodoList (.tdl)"	""	"combobox.1115"
