TRANSTEXT 6.9.999.8
PRIMARY_LANGID 9
English Text	Translated Text	Item Type
NEED_TRANSLATION
TRANSLATED
"% Complete"	"完成百分比(&C)"	"text"
  "% Complete"	""	"label.122"
"% Complete:\t"	"完成百分比:\t"	"text"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"目前已下载 %0.1f Kb (剩余 %0.1f Kb )"	"text"
"%d / %d tasks"	"%d /%d 任务"	"text"
"%d task(s) selected"	"已选择任务 %d"	"text"
"%d"	"%d"	"text"
"%s (Custom)"	"%s (自定义)"	"text"
"%s (Custom, Relative)"	"%s (自定义, 相对)"	"text"
"%s [%s]"	"%s [%s]"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' 无法检出. \n\n请检查是否被移动或删除,您具有所需的访问权限."	"text"
"'%s' could not be checked out\nbecause it is currently checked out to '%s'"	"'%s' 无法检出\n因为当前已被检出到 '%s'"	"text"
"'%s' could not be found."	"'%s' 无法找到."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"'%s' 无法打开(%d).\n\n再次尝试前,请检查文件是否存在和您是否具有适当的访问权限."	"text"
"'%s' could not be opened because access to the file was denied. \n\nPlease check that you have the required permissions and try again."	"'%s' 无法打开,因为访问文件时被拒绝. \n\n请检查您具有所需权限后再试一次."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"'%s' 无法打开,因为访问文件时被拒绝.\n\n请检查您具有所需权限后再试一次."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' 无法打开, 因为其他用户\n(或程序)当前正在访问此文件.\n\n请稍后尝试."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' 无法打开, 因为包含\n格式不正确的 XML, 导致MSXML 组件无法解释."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' 无法打开, 因为已经加密, 并且你没有安装加密组件.\n\n更多信息请联系AbstractSpoon Software."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"'%s' 无法打开, 因为加密方法无法确定."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"'%s' 无法打开, 由于意外错误 (%d)."	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	"'%s' 无法保存, 因为访问文件被拒绝.\n\n请选择其他文件名."	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' 无法保存, 因为其他用户\n(或程序)当前正在访问此文件.\n\n请稍后尝试."	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	"'%s' 无法保存, 因为是只读文件. \n\n请选择其他文件名."	"text"
"'%s' could not be saved due to an unexpected error (%d)."	"'%s' 无法保存, 由于意外错误 (%d)."	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	"'%s' 无法保存, 由于磁盘空间不足. \n\n请选择其他文件名."	"text"
"'%s' does not appear to be a valid tasklist."	"'%s' 看起来不是有效的任务列表."	"text"
"'%s' has no tasks due by the end of next month"	"'%s' 没有任务在下个月末到期"	"text"
"'%s' has no tasks due by the end of next week"	"'%s' 没有任务在下周末到期"	"text"
"'%s' has no tasks due by the end of this month"	"'%s' 没有任务在本月末到期"	"text"
"'%s' has no tasks due by the end of this week"	"'%s' 没有任务在本周末到期"	"text"
"'%s' has no tasks due by today"	"'%s' 没有任务在今天到期"	"text"
"'%s' has no tasks due by tomorrow"	"'%s' 没有任务在明天到期"	"text"
"'%s' must be checked out before it can be saved."	"'%s' 必须先检出再保存."	"text"
"'Due Today' task colour"	"'今日到期'任务颜色"	"checkbox.1104"
"'Due' task colour"	"'到期'任务的颜色"	"checkbox.1103"
"'New Subtask' button places subtask"	"'新子任务'按钮将子任务置于(&K)："	"label"
"'New Task' button places task"	"'新任务'按钮将任务置于(&B)："	"label"
"'Stack' edit fields and comments when they occupy the same position (left, right or below)"	"'叠放'编辑字段和注释, 当它们占据相同位置时(左,右或下方)."	"checkbox.1453"
"'Started Today' task colour"	"'今天开始'的任务颜色"	"checkbox.1107"
"'Started' task colour"	"'开始'的任务颜色"	"checkbox.1106"
"'Today' colour"	"'今天'的颜色"	"checkbox.16005"
"'Weekend' colour"	"'周末'的颜色"	"checkbox.16004"
"(Relative)"	"(相对)"	"text"
