TRANSTEXT 7.0.0.0
PRIMARY_LANGID 16
English Text	Translated Text	Item Type
TRANSLATED
"% Complete"	"% completo"	"label.122"
"% Complete:\t"	"% completo:\t"	"text"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Kb scaricati sinora (%0.1f Kb rimanenti)"	"text"
"%d / %d tasks"	"%d / %d compiti"	"text"
"%d task(s) selected"	"%d compiti selezionati"	"text"
"%d"	"%d"	"text"
"%s (Custom)"	"%s (personalizzato)"	"text"
"%s (Custom, Relative)"	"%s (personalizzato, relativo)"	"text"
"%s (Delay loaded)"	"%s (ritardo caricato)"	"text"
"%s - %d task(s)"	"%s - %d compiti"	"text"
"%s [%s]"	"%s [%s]"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"Impossibile sbloccare '%s'.\n\nVerificare che non sia stato rimosso o eliminato e di avere i necessari diritti di accesso."	"text"
"'%s' could not be checked out\nbecause it is currently checked out to '%s'"	"Non è stato possibile sbloccare '%s'\npoiché è già stato sbloccato da '%s'"	"text"
"'%s' could not be found."	"Non è stato possibile trovare '%s'."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"Non è stato possibile aprire '%s' (%d).\n\nVerificare che il file esista e di avere i necessari diritti di accesso prima di riprovare."	"text"
"'%s' could not be opened because access to the file was denied. \n\nPlease check that you have the required permissions and try again."	"Non è stato possibile aprire '%s' poiché l'accesso al file è stato negato. \n\nVerificare di avere i necessari diritti di accesso e riprovare."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"Non è stato possibile aprire '%s' poiché l'accesso al file è stato negato. \n\nVerificare di avere i necessari diritti di accesso e riprovare."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"Non è stato possibile aprire '%s' poiché un altro utente\n(o applicazione) sta accedendo al file. \n\nRiprovare più tardi."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"Non è stato possibile aprire '%s' poiché contiene codice XML\nnon corretto che il componente MSXML non può interpretare."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"Non è stato possibile aprire '%s' poiché è crittografato e il componente per la crittografia non è installato.\n\nContattare AbstractSpoon Software per ulteriori informazioni."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"Non è stato possibile aprire '%s' poiché non è stato possibile determinare il metodo crittografico."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"Non è stato possibile aprire '%s' a causa di un errore inatteso (%d)."	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	"Non è stato possibile salvare '%s' poiché l'accesso al file è stato negato.\n\nSelezionare un altro nome di file."	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"Non è stato possibile salvare '%s' poiché un altro utente\n(o applicazione) sta accedendo al file.\n\nRiprovare più tardi."	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	"Non è stato possibile salvare '%s' poiché il file è di sola lettura.\n\nSelezionare un altro nome di file."	"text"
"'%s' could not be saved due to an unexpected error (%d)."	"Non è stato possibile salvare '%s' a causa di un errore inatteso (%d)."	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	"Non è stato possibile salvare '%s' poiché non c'è abbastanza spazio su disco.\n\nSelezionare un altro nome di file."	"text"
"'%s' does not appear to be a valid tasklist."	"Non sembra che '%s' sia una lista di compiti valida."	"text"
"'%s' has no tasks due by the end of next month"	"'%s' non contiene compiti da completare entro la fine del prossimo mese"	"text"
"'%s' has no tasks due by the end of next week"	"'%s' non contiene compiti da completare entro la fine della prossima settimana"	"text"
"'%s' has no tasks due by the end of this month"	"'%s' non contiene compiti da completare entro la fine di questo mese"	"text"
"'%s' has no tasks due by the end of this week"	"'%s' non contiene compiti da completare entro la fine di questa settimana"	"text"
"'%s' has no tasks due by today"	"'%s' non contiene compiti da completare entro oggi"	"text"
"'%s' has no tasks due by tomorrow"	"'%s' non contiene compiti da completare entro domani"	"text"
"'%s' must be checked out before it can be saved."	"È necessario sbloccare '%s' prima di poterlo salvare."	"text"
"'Bar' colour for tasks having no colour"	"Colore “Barra” per i compiti senza colore"	"checkbox.16006"
"'Due Today' task colour"	"Colore per i compiti 'In scadenza oggi'"	"checkbox.1104"
"'Due' task colour"	"Colore per i compiti 'In scadenza'"	"checkbox.1103"
"'New Subtask' button places subtask"	"Il pulsante 'Nuovo sotto-compito' inserisce un sotto-compito"	"label"
"'New Task' button places task"	"Il pulsante 'Nuovo compito' inserisce un compito"	"label"
"'Stack' edit fields and comments when they occupy the same position (left, right or below)"	"'Impila' i campi di modifica e i commenti quando occupano la stessa posizione (sinistra, destra o sotto)"	"checkbox.1453"
"'Started Today' task colour"	"Colore dei compiti 'Iniziati oggi'"	"checkbox.1107"
"'Started' task colour"	"Colore dei compiti 'Iniziati'"	"checkbox.1106"
"'Today' colour"	"Colore per 'Oggi'"	"checkbox.16005"
"'Weekend' colour"	"Colore per 'Fine settimana'"	"checkbox.16004"
"(Relative)"	"(relativo)"	"text"
"(completed: %s)"	"(completato: %s)"	"text"
"(untitled)"	"(senza titolo)"	"text"
"- Fixed Columns -"	"- Colonne fisse -"	"combobox.16035"
"- unnamed -"	"- senza nome -"	"text"
"...maps to Column Name in File"	"...assegna alla colonna Nome nel file"	"sysheader32"
"...maps to Task Attribute"	"...assegna all'attributo Compito"	"sysheader32"
"0 (Lowest)"	"0 (minimo)"	"combobox.113"
"0 (Lowest)"	"0 (minimo)"	"combobox.136"
"0 (Lowest)"	"0 (minimo)"	"menu.32882"
"0 (Lowest)"	"0 (minimo)"	"combobox.1191"
"0 (Lowest)"	"0 (minimo)"	"combobox.1183"
"0 (Lowest)"	"0 (minimo)"	"combobox.1032"
"0 (Lowest)"	"0 (minimo)"	"combobox.1024"
"0 (Lowest)"	"0 (minimo)"	"combobox.1025"
"0 (zero) is not a valid task ID"	"0 (zero) non è un identificativo di compito valido"	"text"
"0 minutes"	"0 minuti"	"combobox.1105"
"1 (Low)"	"1 (basso)"	"combobox.1032"
"1 (Low)"	"1 (basso)"	"menu.32883"
"1 (Very Low)"	"1 (molto basso)"	"combobox.113"
"1 (Very Low)"	"1 (molto basso)"	"combobox.1183"
"1 (Very Low)"	"1 (molto basso)"	"combobox.1191"
"1 (Very Low)"	"1 (molto basso)"	"menu.32883"
"1 (Very Low)"	"1 (molto basso)"	"combobox.136"
"1 (Very Low)"	"1 (molto basso)"	"combobox.1024"
"1 (Very Low)"	"1 (molto basso)"	"combobox.1025"
"1 Week"	"1 settimana"	"combobox.1015"
"1 minute"	"1 minuto"	"combobox.1174"
"1 month"	"1 mese"	"combobox.1105"
"1 space"	"1 spazio"	"combobox.1029"
"1 task selected (%d)"	"1 compito selezionato (%d)"	"text"
"1. Where do you want ToDoList to store your program settings ?"	"1. Dove memorizzare le impostazioni di ToDoList?"	"label"
"10 (Highest)"	"10 (massimo)"	"combobox.113"
"10 (Highest)"	"10 (massimo)"	"combobox.136"
"10 (Highest)"	"10 (massimo)"	"combobox.1032"
"10 (Highest)"	"10 (massimo)"	"combobox.1183"
"10 (Highest)"	"10 (massimo)"	"combobox.1191"
"10 (Highest)"	"10 (massimo)"	"menu.32892"
"10 (Highest)"	"10 (massimo)"	"combobox.1024"
"10 (Highest)"	"10 (massimo)"	"combobox.1025"
"10 minutes"	"10 minuti"	"combobox.1105"
"10 minutes"	"10 minuti"	"combobox.1174"
"10 pt"	"10 pt"	"combobox.1029"
"10 pt"	"10 pt"	"combobox.1030"
"10 seconds"	"10 secondi"	"combobox.1164"
"11 pt"	"11 pt"	"combobox.1029"
"11 pt"	"11 pt"	"combobox.1030"
"12 hours"	"12 ore"	"combobox.1105"
"12 months / 1 year"	"12 mesi / 1 anno"	"combobox.1105"
"12 pt"	"12 pt"	"combobox.1029"
"12 pt"	"12 pt"	"combobox.1030"
"120 seconds"	"120 secondi"	"combobox.1164"
"14 pt"	"14 pt"	"combobox.1029"
