TRANSTEXT 7.0.998.2
PRIMARY_LANGID 19
English Text	Translated Text	Item Type
NEED_TRANSLATION
"% Complete:\t"	""	"text"
"%s (Delay loaded)"	""	"text"
"%s - %d task(s)"	""	"text"
"'Bar' colour for tasks having no colour"	""	"checkbox.16006"
"- Fixed Columns -"	""	"combobox.16035"
"<New Column>"	""	"text"
"<filepath>\tOpens/selects the specified tasklist\n-m <filepath>\tImports the specified file\n-f <filepath2>[|<filepath3>|<filepath4>]\tAllows additional tasklists to be opened\n-v\tForces ToDoList to startup visible regardless of its last saved state\n-i <inipath>\tSpecifies an alternative settings file path\n-x\tTurns off password prompting except when first loading an encrypted tasklist\n-cmd <id>\tSends the specified command to ToDoList's main window\n-h, -help, -?\tThis messagebox\n"	""	"text"
"Allocated By:\t"	""	"text"
"Allocated To:\t"	""	"text"
"Always on Top"	""	"tooltip"
"Always prompt me to choose"	""	"checkbox.16015"
"Always show 'Backlog' column"	""	"checkbox.16038"
"Application"	""	"label"
"Attribute Value(s)"	""	"text"
  "Attribute Value(s)"	""	"sysheader32"
"Attribute to 'track'"	""	"label.16041"
"Automatically generate columns from task attribute values"	""	"radiobutton.16030"
"Category:\t"	""	"text"
"Checkbox"	""	"text"
"Close"	""	"button.1"
"Colour bar by task priority"	""	"checkbox.16044"
"Columns"	""	"label.16031"
"Comments:\t"	""	"text"
"Completed:\t"	""	"text"
"Copy Link"	""	"menu.34165"
"Cost:\t\t"	""	"text"
"Custom Attribute (List)"	""	"text"
"D\t(days)"	""	"text"
"Default Tags"	""	"label"
"Default Versions"	""	"label"
"Dependency:\t"	""	"text"
"Dependents:\t"	""	"text"
"Display delete confirmation dialog\n"	""	"checkbox.1039"
"Display the following attributes for each task"	""	"groupbox"
"Display the image file directly (currently supports bmp, ico, gif, jpg, png)"	""	"radiobutton.16005"
"Do you want to delete the existing column definitions?"	""	"text"
"Due Date:\t"	""	"text"
"Export Tasks to iCalendar"	""	"dialog"
"Export tasks as 'event' items"	""	"radiobutton.15000"
"Export tasks as 'to-do' items"	""	"radiobutton.15001"
"External ID:\t"	""	"text"
"File Link:\t"	""	"text"
"File Linking"	""	"label.16012"
"Fixed column definitions: (optional)"	""	"groupbox"
"H\t(hours)"	""	"text"
"Hide Empty Columns"	""	"tooltip"
"Hide zero values"	""	"combobox.1348"
"Inline Spell Checking"	""	"menu.34164"
"Kanban Preferences"	""	"dialog"
"Kanban"	""	"text"
  "Kanban"	""	"systabcontrol32.411"
"Keep a task's time estimate synchronised with its start and due dates (and vice versa)"	""	"checkbox.1061"
"Last Modified:\t"	""	"text"
"License"	""	"label"
"MS Sans Serif"	""	"combobox.1136"
"M\t(months)"	""	"text"
"Move Column Down"	""	"tooltip"
"Move Column Up"	""	"tooltip"
"Notification"	""	"text"
"Online Help"	""	"menu.33106"
  "Online Help"	""	"tooltip"
"Parent"	""	"checklistbox.16045"
"Populate Columns"	""	"tooltip"
"Preference Files (*.ini)"	""	"combobox.1136"
"Priority:\t\t"	""	"text"
"Quick Task Find"	""	"text"
"Remind me again at"	""	"radiobutton.1459"
"Resize Attribute Columns to Fit"	""	"menu.34536"
"Rich Text Preferences"	""	"dialog"
"Risk:\t\t"	""	"text"
"Show '% Complete' as progress on task's gantt bar"	""	"checkbox.16022"
"Show 'Reminders' as dates and times"	""	"checkbox.1466"
"Show Time Tracker"	""	"menu.34548"
"Show Time"	""	"text"
"Show a task's colour as a vertical bar"	""	"checkbox.16042"
"Show close button on each tasklist tab"	""	"checkbox.1172"
"Show empty columns"	""	"combobox.16036"
"Show parent tasks"	""	"checkbox.16029"
"Show the Time-Tracker window whenever a task's time is tracked"	""	"checkbox.1479"
"Sort subtasks below their respective parent task"	""	"checkbox.16036"
"Start Date:\t"	""	"text"
"Start Tracking"	""	"text"
"Status:\t"	""	"text"
