TRANSTEXT 7.0.998.2
PRIMARY_LANGID 25
English Text	Translated Text	Item Type
NEED_TRANSLATION
"%s (Delay loaded)"	""	"text"
"'Bar' colour for tasks having no colour"	""	"checkbox.16006"
"- Fixed Columns -"	""	"combobox.16035"
"Always on Top"	""	"tooltip"
"Application"	""	"label"
"Close"	""	"button.1"
"Colour bar by task priority"	""	"checkbox.16044"
"Copy Link"	""	"menu.34165"
"Display the following attributes for each task"	""	"groupbox"
"Do you want to delete the existing column definitions?"	""	"text"
"Export Tasks to iCalendar"	""	"dialog"
"Export tasks as 'event' items"	""	"radiobutton.15000"
"Export tasks as 'to-do' items"	""	"radiobutton.15001"
"Fixed column definitions: (optional)"	""	"groupbox"
"Hide zero values"	""	"combobox.1348"
"License"	""	"label"
"Move Column Down"	""	"tooltip"
"Move Column Up"	""	"tooltip"
"Notification"	""	"text"
"Parent"	""	"checklistbox.16045"
"Populate Columns"	""	"tooltip"
"Quick Task Find"	""	"text"
"Resize Attribute Columns to Fit"	""	"menu.34536"
"Show '% Complete' as progress on task's gantt bar"	""	"checkbox.16022"
"Show Time Tracker"	""	"menu.34548"
"Show Time"	""	"text"
"Show a task's colour as a vertical bar"	""	"checkbox.16042"
"Show empty columns"	""	"combobox.16036"
"Show the Time-Tracker window whenever a task's time is tracked"	""	"checkbox.1479"
"Start Tracking"	""	"text"
"Stop Tracking"	""	"text"
"Stylesheet not found"	""	"label.1483"
"The clipboard text contained no tasks which could be imported."	""	"text"
"The clipboard text does not have a recognised format."	""	"text"
"The file '%s' contained no tasks which could be imported."	""	"text"
"The file '%s' does not have a recognised format."	""	"text"
"Time Tracker"	""	"dialog"
"Unable to process Startup Options|When more than one instance of ToDoList is running you must specify a filepath as well."	""	"text"
"When"	""	"label"
"occurrences"	""	"label.1446"
TRANSLATED
"% Complete"	"Завершено %"	"label.122"
  "% Complete"	"Завершено %"	"text"
"% Complete:\t"	"Завершено %:\t"	"text"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"%0.1f Кб загружено (осталось %0.1f Кб)"	"text"
"%d / %d tasks"	"%d / %d задач"	"text"
"%d task(s) selected"	"%d задач(а) выделено"	"text"
"%d"	"%d"	""
"%s (Custom)"	"%s (установленный)"	"text"
"%s (Custom, Relative)"	"%s (установленный, относительный)"	"text"
"%s - %d task(s)"	"%s - %d задач(и)"	"text"
"%s [%s]"	"%s [%s]"	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' не может быть проверен.\n\nУбедитесь, что файл не перемещен или удален и что вы имеете к нему доступ."	"text"
"'%s' could not be checked out\nbecause it is currently checked out to '%s'"	"'%s' не может быть проверен\nт.к. сейчас проверяется '%s'"	"text"
"'%s' could not be found."	"'%s' не найден."	""
  "'%s' could not be found."	"'%s' не найден."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"%s' невозможно открыть (%d).\n\nУбедитесь в наличии файла прав на доступ и попробуйте открыть его снова."	"text"
"'%s' could not be opened because access to the file was denied. \n\nPlease check that you have the required permissions and try again."	"'%s' не может быть открыт, т.к. закрыт доступ к файлу. \n\nПроверьте необходимые права и попробуйте еще раз."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"%s' не может быть открыт из-за отказа доступа к файлу.\n\nПожалуйста, убедитесь в наличии необходимых разрешений и попробуйте снова."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' невозможно открыть, т.к. другой пользователь\n(или программа) заблокировал этот файл.\n\nПопробуйте позже."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' не может быть открыт, т.к. содержит\nневерный XML, который не интерпретируется MSXML."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' не может быть открыт, т.к. зашифровано и вы не установили компонент для шифрации.\n\nСвяжитесь с AbstractSpoon Software для детальной информации."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"'%s' не может быть открыт, т.к. метод кодирования не определен."	""
  "'%s' could not be opened because the method of encryption could not be determined."	"'%s' не может быть открыт, т.к. метод кодирования не определен."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"'%s' не может быть открыт из-за неожиданной ошибки (%d)."	""
  "'%s' could not be opened due to an unexpected error (%d)."	"'%s' не может быть открыт из-за неожиданной ошибки (%d)."	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	"%s' не может быть сохранен из-за отказа доступа к файлу.\n\nПожалуйста, выберите другое имя файла."	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' невозможно сохранить, т.к. другой пользователь\n(или программа) заблокировал этот файл.\n\nПопробуйте позже."	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	"%s' не может быть сохранен, так так файл доступен только для чтения.\n\nПожалуйста, выберите другое имя файла."	"text"
"'%s' could not be saved due to an unexpected error (%d)."	"'%s' не может быть сохранен из-за неожиданной ошибки (%d)."	""
  "'%s' could not be saved due to an unexpected error (%d)."	"'%s' не может быть сохранен из-за неожиданной ошибки (%d)."	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	"%s' не может быть сохранен из-за недостаточного места на диске.\n\nПожалуйста, выберите другое имя файла."	"text"
"'%s' does not appear to be a valid tasklist."	"'%s' не является корректным списком задач."	""
  "'%s' does not appear to be a valid tasklist."	"'%s' не является корректным списком задач."	"text"
"'%s' has no tasks due by the end of next month"	"%s' нет задач, заканчивающихся в конце следующего месяца"	""
  "'%s' has no tasks due by the end of next month"	"'%s' нет задач, заканчивающихся в конце следующего месяца"	"text"
"'%s' has no tasks due by the end of next week"	"%s' нет задач, заканчивающихся в конце следующей недели"	""
  "'%s' has no tasks due by the end of next week"	"'%s' нет задач, заканчивающихся в конце следующей недели"	"text"
"'%s' has no tasks due by the end of this month"	"%s' нет задач, заканчивающихся в конце месяца"	""
  "'%s' has no tasks due by the end of this month"	"'%s' нет задач, заканчивающихся в конце месяца"	"text"
"'%s' has no tasks due by the end of this week"	"%s' нет задач, заканчивающихся в конце недели"	""
  "'%s' has no tasks due by the end of this week"	"'%s' нет задач, заканчивающихся в конце недели"	"text"
"'%s' has no tasks due by today"	"у '%s' нет задачсо сроком на 'Сегодня'"	"text"
"'%s' has no tasks due by tomorrow"	"%s' нет задач со сроком на 'Завтра'"	""
  "'%s' has no tasks due by tomorrow"	"'%s' нет задач со сроком на 'Завтра'"	"text"
"'%s' must be checked out before it can be saved."	"Перед сохранением '%s' необходимо внести изменения."	"text"
"'Due Today' task colour"	"Цвет задач 'Сегодня'"	"checkbox.1104"
"'Due' task colour"	"Цвет задачи 'Срок'"	"checkbox.1103"
"'New Subtask' button places subtask"	"Новая подзадача' помещает подзадачу:"	"label"
"'New Task' button places task"	"Новая задача' помещает задачу:"	"label"
"'Stack' edit fields and comments when they occupy the same position (left, right or below)"	"Группировать' поля редактирования и заметок, когда они занимают одинаковую позицию (слева, справа или снизу)"	"checkbox.1453"
"'Started Today' task colour"	"Цвет задачи 'Начато сегодня'"	"checkbox.1107"
"'Started' task colour"	"Цвет задачи 'Начато'"	"checkbox.1106"
"'Today' colour"	"Цвет 'Сегодня'"	"checkbox.16005"
"'Weekend' colour"	"Цвет 'Выходные'"	"checkbox.16004"
"(Relative)"	"(Относительно)"	"text"
"(completed: %s)"	"(завершено: %s)"	"text"
"(untitled)"	"(без имени)"	"text"
"- unnamed -"	"- без имени -"	"text"
"...maps to Column Name in File"	"…назначает на название колонки в файле"	"text"
"...maps to Task Attribute"	"…назначает на атрибут задачи"	"text"
"0 (Lowest)"	"0 (Самый низкий)"	"combobox.1183"
  "0 (Lowest)"	"0 (Самый низкий)"	"combobox.1025"
  "0 (Lowest)"	"0 (Самый низкий)"	"combobox.1032"
  "0 (Lowest)"	"0 (Самый низкий)"	"combobox.1191"
  "0 (Lowest)"	"0 (Самый низкий)"	"combobox.1024"
  "0 (Lowest)"	"0 (Самый низкий)"	"menu.32882"
  "0 (Lowest)"	"0 (Самый низкий)"	"combobox.113"
  "0 (Lowest)"	"0 (Самый низкий)"	"combobox.136"
"0 (zero) is not a valid task ID"	"0 (ноль) это не верный ID задачи"	""
  "0 (zero) is not a valid task ID"	"0 (ноль) это не верный ID задачи"	"text"
"0 minutes"	"0 минут"	"combobox.1105"
"1 (Low)"	"1 (Низкий)"	"combobox.1032"
  "1 (Low)"	"1 (Низкий)"	"menu.32883"
"1 (Very Low)"	"1 (Очень низкий)"	"combobox.1183"
  "1 (Very Low)"	"1 (Очень низкий)"	"combobox.1191"
  "1 (Very Low)"	"1 (Очень низкий)"	"menu.32883"
  "1 (Very Low)"	"1 (Очень низкий)"	"combobox.1025"
  "1 (Very Low)"	"1 (Очень низкий)"	"combobox.1024"
  "1 (Very Low)"	"1 (Очень низкий)"	"combobox.136"
  "1 (Very Low)"	"1 (Очень низкий)"	"combobox.113"
"1 Week"	"1 неделя"	"combobox.1015"
"1 minute"	"1 минута"	"combobox.1174"
"1 month"	"1 месяц"	"combobox.1105"
"1 space"	"1 пробел"	"combobox.1029"
"1 task selected (%d)"	"1 задача выделена (%d)"	"text"
"1. Where do you want ToDoList to store your program settings ?"	"1. Где вы хотите хранить ваши настройки программы ToDoList ?"	"label"
"10 (Highest)"	"10 (Самый высокий)"	"combobox.1183"
  "10 (Highest)"	"10 (Самый высокий)"	"combobox.1025"
  "10 (Highest)"	"10 (Самый высокий)"	"combobox.1024"
  "10 (Highest)"	"10 (Самый высокий)"	"combobox.136"
  "10 (Highest)"	"10 (Самый высокий)"	"combobox.113"
  "10 (Highest)"	"10 (Самый высокий)"	"combobox.1032"
  "10 (Highest)"	"10 (Самый высокий)"	"combobox.1191"
  "10 (Highest)"	"10 (Самый высокий)"	"menu.32892"
"10 minutes"	"10 минут"	"combobox.1174"
  "10 minutes"	"10 минут"	"combobox.1105"
"10 pt"	"10"	"combobox.1029"
  "10 pt"	""	"combobox.1030"
"10 seconds"	"10 секунд"	"combobox.1164"
"11 pt"	"11"	"combobox.1029"
  "11 pt"	""	"combobox.1030"
"12 hours"	"12 часов"	"combobox.1105"
"12 months / 1 year"	"12 месяцев/1 год"	"combobox.1105"
"12 pt"	"12"	"combobox.1029"
  "12 pt"	""	"combobox.1030"
"120 seconds"	"120 секунд"	"combobox.1164"
"14 pt"	"14"	"combobox.1029"
  "14 pt"	""	"combobox.1030"
"15 minutes"	"15 минут"	"combobox.1174"
  "15 minutes"	"15 минут"	"combobox.1105"
"16 pt"	"16"	"combobox.1029"
  "16 pt"	""	"combobox.1030"
"18 pt"	"18"	"combobox.1029"
  "18 pt"	""	"combobox.1030"
"2 (Low)"	"2 (Низкий)"	"combobox.1183"
  "2 (Low)"	"2 (Низкий)"	"combobox.1024"
  "2 (Low)"	"2 (Низкий)"	"combobox.1025"
  "2 (Low)"	"2 (Низкий)"	"menu.32884"
  "2 (Low)"	"2 (Низкий)"	"combobox.1191"
  "2 (Low)"	"2 (Низкий)"	"combobox.1032"
  "2 (Low)"	"2 (Низкий)"	"combobox.113"
  "2 (Low)"	"2 (Низкий)"	"combobox.136"
"2 Weeks"	"2 недели"	"combobox.1015"
"2 days"	"2 дня"	"combobox.1105"
"2 hours"	"2 часа"	"combobox.1105"
"2 minutes"	"2 минуты"	"combobox.1174"
"2 months"	"2 месяца"	"combobox.1105"
"2 spaces"	"2 пробела"	"combobox.1029"
"2 weeks"	"2 недели"	"combobox.1105"
"2. Do you want to be able to share your tasklists on a network ?"	"2. Хотите использовать сетевой список задач?"	"label"
"20 minutes"	"20 минут"	"combobox.1174"
  "20 minutes"	"20 минут"	"combobox.1105"
"20 pt"	"20"	"combobox.1029"
  "20 pt"	""	"combobox.1030"
"20 seconds"	"20 секунд"	"combobox.1164"
"24 hours / 1 day"	"24 часа / 1 день"	"combobox.1105"
"3 (Low)"	"3 (Низкий)"	"combobox.1032"
  "3 (Low)"	"3 (Низкий)"	"menu.32885"
"3 (Low-Med)"	"3 (Ниже среднего)"	"combobox.1183"
  "3 (Low-Med)"	"3 (Ниже среднего)"	"combobox.136"
  "3 (Low-Med)"	"3 (Ниже среднего)"	"combobox.113"
  "3 (Low-Med)"	"3 (Ниже среднего)"	"menu.32885"
  "3 (Low-Med)"	"3 (Ниже среднего)"	"combobox.1191"
  "3 (Low-Med)"	"3 (Ниже среднего)"	"combobox.1024"
  "3 (Low-Med)"	"3 (Ниже среднего)"	"combobox.1025"
"3 Weeks"	"3 недели"	"combobox.1015"
"3 days"	"3 дня"	"combobox.1105"
"3 hours"	"3 часа"	"combobox.1105"
"3 months"	"3 месяца"	"combobox.1105"
"3 weeks"	"3 недели"	"combobox.1105"
"3. Which columns do you initially want to see ?\n\nNote: You can modify this choice later using  'View > Select Columns'"	"3. Выберите колонки для просмотра.\n\nЗаметка: Вы можете изменить ваш выбор позже, 'Вид > Колонки'"	"label"
"30 minutes"	"30 минут"	"combobox.1174"
  "30 minutes"	"30 минут"	"combobox.1105"
"30 seconds"	"30 секунд"	"combobox.1164"
"4 (Medium)"	"4 (Средний)"	"combobox.1183"
  "4 (Medium)"	"4 (Средний)"	"combobox.1032"
  "4 (Medium)"	"4 (Средний)"	"menu.32886"
  "4 (Medium)"	"4 (Средний)"	"combobox.1191"
  "4 (Medium)"	"4 (Средний)"	"combobox.1025"
  "4 (Medium)"	"4 (Средний)"	"combobox.113"
  "4 (Medium)"	"4 (Средний)"	"combobox.1024"
  "4 (Medium)"	"4 (Средний)"	"combobox.136"
"4 Weeks"	"4 недели"	"combobox.1015"
"4 days"	"4 дня"	"combobox.1105"
"4 hours"	"4 часа"	"combobox.1105"
"4 months"	"4 месяца"	"combobox.1105"
"4 spaces"	"4 пробела"	"combobox.1029"
"4 weeks"	"4 недели"	"combobox.1105"
"4. Do you want to keep the user interface as simple as possible ?"	"4. Включить максимально простой интерфейс?"	"label"
"45 minutes"	"45 минут"	"combobox.1174"
  "45 minutes"	"45 минут"	"combobox.1105"
"5 (Medium)"	"5 (Средний)"	"combobox.1183"
  "5 (Medium)"	"5 (Средний)"	"combobox.1191"
  "5 (Medium)"	"5 (Средний)"	"menu.32887"
  "5 (Medium)"	"5 (Средний)"	"combobox.1032"
  "5 (Medium)"	"5 (Средний)"	"combobox.113"
  "5 (Medium)"	"5 (Средний)"	"combobox.136"
  "5 (Medium)"	"5 (Средний)"	"combobox.1024"
  "5 (Medium)"	"5 (Средний)"	"combobox.1025"
"5 Weeks"	"5 недель"	"combobox.1015"
"5 days"	"5 дней"	"combobox.1105"
"5 hours"	"5 часов"	"combobox.1105"
"5 minutes"	"5 минут"	"combobox.1174"
  "5 minutes"	"5 минут"	"combobox.1105"
"5 months"	"5 месяцев"	"combobox.1105"
"5 pt"	"5"	"combobox.1029"
  "5 pt"	""	"combobox.1030"
"5. Do you want to view a sample tasklist to help you get started ?"	"5. Открыть пример списка задач для начального ознакомления?"	"label"
"6 (Medium)"	"6 (Средний)"	"combobox.1183"
  "6 (Medium)"	"6 (Средний)"	"combobox.1024"
  "6 (Medium)"	"6 (Средний)"	"combobox.136"
  "6 (Medium)"	"6 (Средний)"	"combobox.113"
  "6 (Medium)"	"6 (Средний)"	"combobox.1032"
